timestamp,MTR01_VIB_RMS_H,MTR01_CURRENT,MTR01_TEMP,HYD01_PRESS_IN,FUR01_TEMP_Z1
2026-03-02 09:40:00,2.1,64.0,54.0,152.0,1190.0
2026-03-02 09:41:00,2.2,64.5,54.0,153.0,1190.0
2026-03-02 09:42:00,2.1,63.5,54.0,152.0,1190.0
2026-03-02 09:43:00,2.3,65.5,54.0,151.0,1190.0
2026-03-02 09:44:00,2.2,65.0,54.0,153.0,1190.0
2026-03-02 09:45:00,2.0,64.0,54.0,152.0,1190.5
2026-03-02 09:46:00,2.2,64.5,54.0,154.0,1190.5
2026-03-02 09:47:00,2.1,63.5,54.0,152.0,1190.5
2026-03-02 09:48:00,2.4,66.0,54.0,151.0,1190.5
2026-03-02 09:49:00,2.1,64.5,54.0,153.0,1190.5
2026-03-02 09:50:00,2.1,64.0,54.0,152.0,1191.0
2026-03-02 09:51:00,2.2,64.5,54.0,153.0,1191.0
2026-03-02 09:52:00,2.1,63.5,54.0,152.0,1191.0
2026-03-02 09:53:00,2.3,65.5,54.0,151.0,1191.0
2026-03-02 09:54:00,2.2,65.0,54.0,153.0,1191.0
2026-03-02 09:55:00,2.0,64.0,54.0,152.0,1191.5
2026-03-02 09:56:00,2.2,64.5,54.0,154.0,1191.5
2026-03-02 09:57:00,2.1,63.5,54.0,152.0,1191.5
2026-03-02 09:58:00,2.4,66.0,54.0,151.0,1191.5
2026-03-02 09:59:00,2.1,64.5,54.0,153.0,1191.5
