측정시각,소입로온도1존,소입로온도2존,CP값,OP값,세정기,라인,result
74,857.2,860.4,0.455,78.3,66.5,야간,정상
75,859.4,,0.444,100.0,66.6,야간,정상
76,857.0,859.3,0.451,71.3,66.7,야간,정상
77,854.6,859.7,0.452,100.0,67.0,야간,이상
78,863.7,860.1,0.448,0.6,67.2,야간,정상
79,853.3,860.6,0.453,99.5,67.3,야간,이상
80,858.9,,0.448,69.2,67.3,야간,정상
81,856.9,860.3,,92.3,67.4,야간,정상
82,859.1,860.3,0.452,53.8,67.4,야간,정상
83,855.3,860.1,0.451,99.0,67.4,야간,정상
84,860.5,859.7,0.447,52.8,67.5,야간,정상
85,859.7,860.4,0.448,62.7,67.5,야간,정상
86,859.3,861.3,0.607,,67.0,야간,정상
87,861.5,859.7,0.456,54.3,67.0,야간,정상
88,856.7,,0.449,66.6,66.9,야간,정상
89,854.8,859.6,0.443,95.0,66.9,야간,이상
90,859.4,860.3,0.449,62.0,67.2,야간,정상
91,856.5,860.8,0.448,90.7,67.3,야간,정상
92,859.3,860.0,0.447,97.8,67.2,야간,정상
93,865.3,859.8,0.454,2.9,67.5,야간,정상
94,855.7,859.8,0.449,71.6,67.4,야간,정상
95,857.8,859.8,0.45,80.2,67.4,야간,정상
96,859.2,860.1,0.452,82.5,67.5,야간,정상
97,859.3,860.1,0.451,89.6,67.6,야간,정상
98,860.2,,0.449,87.9,,야간,정상
99,860.2,860.4,0.451,,66.9,야간,정상
100,859.8,859.9,0.447,82.1,66.8,야간,정상
101,863.5,860.1,0.452,14.1,66.8,야간,정상
102,858.7,,0.439,55.8,66.9,야간,정상
103,854.3,860.2,0.444,100.0,67.0,야간,이상
104,860.4,859.6,0.45,64.0,67.0,야간,정상
105,858.6,860.1,0.434,92.5,67.2,야간,정상
106,870.8,860.1,0.459,0.0,67.3,야간,이상
107,861.1,860.0,0.442,76.2,67.2,야간,정상
108,853.6,860.3,0.453,100.0,67.4,야간,이상
109,854.4,860.9,0.449,100.0,67.4,야간,이상
110,861.7,859.2,0.454,30.4,67.5,야간,정상
111,857.4,859.7,0.449,96.4,66.9,야간,정상
112,858.7,860.1,0.45,89.2,66.7,야간,정상
113,860.6,,0.451,77.4,66.7,야간,정상
114,860.4,860.2,0.449,73.6,67.0,야간,정상
115,860.1,859.7,,65.7,67.1,야간,정상
116,858.7,860.1,0.452,76.0,66.8,야간,정상
117,858.9,860.1,0.45,91.8,66.6,야간,정상
118,860.3,860.1,0.458,77.5,66.7,야간,정상
119,860.1,860.4,0.454,100.0,66.8,야간,정상
120,857.2,859.5,0.453,100.0,66.9,야간,정상
