line,shift,machine,temp,vibration,pressure,result
C라인,야간,M03,84.1,1.42,4.81,정상
B라인,야간,M02,78.0,5.2,4.27,정상
A라인,주간,M02,76.2,4.42,4.54,정상
B라인,주간,M02,81.2,2.44,5.6,정상
C라인,야간,M02,74.7,0.94,5.4,정상
B라인,주간,M02,79.7,4.62,4.22,정상
C라인,야간,M01,82.7,2.86,5.08,고장
B라인,야간,M03,81.2,4.49,5.6,고장
B라인,주간,M02,68.1,1.09,3.66,정상
B라인,주간,M04,77.2,2.28,5.43,정상
A라인,야간,M03,88.4,3.01,4.47,고장
A라인,야간,M03,67.8,3.06,5.46,고장
A라인,주간,M02,94.8,2.46,4.39,정상
B라인,야간,M01,61.6,3.75,3.56,고장
A라인,주간,M02,73.7,1.72,3.7,고장
B라인,야간,M01,79.5,2.83,5.04,정상
C라인,주간,M04,78.2,3.14,5.21,정상
A라인,주간,M03,69.8,3.62,4.28,정상
B라인,주간,M04,75.2,3.85,5.51,정상
C라인,야간,M01,66.2,1.65,3.67,정상
A라인,야간,M01,65.3,1.16,4.95,고장
A라인,주간,M04,91.3,4.53,4.03,정상
A라인,야간,M01,78.6,3.4,4.48,정상
A라인,주간,M04,77.6,2.1,5.04,정상
C라인,주간,M03,90.8,4.86,4.31,정상
C라인,야간,M04,80.9,3.14,4.69,고장
B라인,야간,M03,85.0,4.42,5.81,정상
C라인,주간,M04,84.8,3.08,4.54,정상
C라인,야간,M01,75.3,5.47,5.67,정상
A라인,야간,M04,78.6,5.11,4.1,정상
C라인,주간,M01,90.4,2.7,5.42,정상
B라인,주간,M04,85.0,4.17,6.15,정상
