라인,소입로온도,제어출력,건조출력,세정기,CP값,판정
야간,859.9,74.9,23.4,66.5,0.45,정상
야간,859.6,81.5,23.1,66.5,0.45,정상
야간,862.2,70.0,25.5,66.7,0.449,정상
야간,859.5,79.7,25.1,67.0,0.451,정상
야간,859.3,100.0,21.9,67.0,0.451,정상
야간,860.4,83.2,24.4,66.9,0.448,정상
야간,858.9,80.6,25.8,67.2,0.447,정상
야간,863.5,6.9,22.9,67.1,0.45,정상
야간,859.9,68.8,21.8,67.2,0.45,정상
야간,860.8,80.9,22.8,67.3,0.439,정상
야간,855.5,92.7,24.5,65.1,0.441,정상
야간,859.9,77.9,20.6,65.2,0.45,정상
야간,859.8,81.4,24.4,65.5,0.448,정상
야간,859.8,86.2,22.6,65.6,0.452,정상
야간,858.4,91.4,26.0,66.0,0.453,정상
야간,859.9,92.0,25.4,66.2,0.448,정상
야간,860.1,74.9,23.8,66.5,0.45,정상
야간,860.0,81.2,24.9,66.6,0.449,정상
야간,860.1,80.9,25.2,66.2,0.449,정상
야간,859.1,76.6,22.1,64.5,0.449,정상
야간,857.0,100.0,24.3,64.7,0.453,정상
야간,859.1,87.0,23.4,65.1,0.452,정상
야간,860.1,81.7,24.0,65.4,0.45,정상
야간,858.4,97.9,21.7,65.7,0.449,정상
야간,859.7,93.1,22.5,66.0,0.449,정상
야간,854.8,100.0,23.9,65.2,0.458,이상
야간,857.6,98.5,20.7,65.4,0.449,정상
야간,859.7,84.4,22.1,65.8,0.45,정상
야간,859.9,83.5,23.5,66.0,0.449,정상
야간,862.9,28.5,21.2,66.4,0.449,정상
야간,860.0,69.8,23.4,66.4,0.45,정상
야간,861.5,99.3,21.6,65.9,0.451,정상
야간,859.1,83.2,22.6,65.7,0.45,정상
야간,859.9,81.2,26.4,65.9,0.45,정상
야간,860.4,67.1,22.4,66.0,0.452,정상
야간,859.8,75.9,19.5,66.3,0.451,정상
야간,859.9,82.4,23.6,66.5,0.445,정상
야간,861.2,52.8,21.1,66.7,0.449,정상
야간,859.1,81.3,23.2,66.7,0.45,정상
야간,859.9,72.4,24.0,65.7,0.45,정상
야간,860.1,77.9,22.2,65.6,0.451,정상
야간,859.8,80.2,21.7,65.3,0.451,정상
야간,860.3,71.7,18.2,65.3,0.451,정상
야간,859.8,69.3,22.7,65.6,0.448,정상
야간,859.6,82.3,26.0,66.2,0.451,정상
야간,860.1,79.3,21.6,65.4,0.45,정상
야간,859.9,83.0,25.5,65.3,0.452,정상
야간,860.3,75.2,21.3,65.2,0.447,정상
야간,860.1,81.5,23.1,65.3,0.449,정상
야간,860.4,68.5,23.8,65.6,0.45,정상
야간,859.3,80.8,23.3,66.0,0.456,정상
야간,860.2,78.2,20.7,66.2,0.449,정상
야간,858.4,97.6,20.0,65.8,0.448,정상
야간,860.3,65.2,23.1,66.1,0.449,정상
야간,857.8,94.5,20.0,66.4,0.448,정상
야간,865.4,21.6,19.7,66.5,0.448,정상
야간,858.5,83.4,23.2,66.8,0.45,정상
야간,859.7,80.0,22.9,67.1,0.45,정상
야간,860.3,73.5,20.6,66.4,0.45,정상
야간,860.1,74.3,20.8,66.3,0.448,정상
야간,859.9,81.3,24.1,66.4,0.446,정상
야간,856.9,77.6,18.2,66.6,0.45,정상
야간,859.0,97.1,21.8,67.0,0.452,정상
야간,859.4,82.6,20.3,67.2,0.452,정상
야간,860.2,73.8,22.9,67.3,0.45,정상
야간,859.9,78.6,22.8,66.5,0.447,정상
야간,859.5,86.6,22.5,66.7,0.45,정상
야간,860.6,73.2,23.5,66.7,0.45,정상
야간,859.9,69.4,21.0,67.0,0.45,정상
야간,861.0,55.0,23.1,67.2,0.451,정상
야간,859.0,87.0,25.2,67.4,0.448,정상
야간,862.6,45.7,24.6,66.9,0.447,정상
야간,857.3,100.0,25.8,66.5,0.45,정상
야간,859.7,80.3,23.0,66.7,0.45,정상
야간,856.4,95.0,21.3,66.8,0.451,정상
야간,860.0,78.7,20.7,66.9,0.451,정상
야간,859.4,84.1,21.6,67.1,0.45,정상
야간,860.1,81.3,22.0,67.2,0.449,정상
야간,859.7,90.4,22.8,66.0,0.449,정상
야간,859.5,74.0,22.4,66.1,0.45,정상
야간,859.3,93.2,20.8,66.5,0.452,정상
야간,860.1,97.4,23.3,66.7,0.449,정상
야간,857.3,100.0,25.5,67.0,0.449,정상
야간,859.8,80.2,24.2,67.3,0.449,정상
야간,860.8,64.5,23.3,66.9,0.449,정상
야간,868.7,0.6,22.2,66.6,0.458,이상
야간,851.4,100.0,23.0,66.8,0.454,이상
야간,860.2,69.0,23.0,66.9,0.452,정상
야간,861.1,58.2,24.4,67.0,0.448,정상
야간,860.5,67.4,23.3,67.3,0.45,정상
야간,858.4,74.9,24.5,67.3,0.451,정상
야간,861.8,24.7,12.6,66.4,0.449,정상
야간,859.0,85.9,27.3,65.7,0.45,정상
특근,855.6,87.3,21.2,65.4,0.45,정상
특근,858.1,77.2,22.6,65.7,0.455,정상
특근,860.2,75.7,20.8,65.8,0.45,정상
특근,860.3,78.6,23.9,66.0,0.45,정상
특근,858.6,89.5,27.2,66.0,0.446,정상
특근,857.0,100.0,24.9,66.0,0.452,정상
특근,857.1,94.6,19.1,65.0,0.452,정상
특근,860.2,66.7,22.3,65.2,0.45,정상
특근,860.0,78.6,22.7,65.4,0.451,정상
특근,860.3,76.8,20.7,65.6,0.443,정상
특근,851.9,100.0,20.9,65.8,0.45,이상
특근,858.3,77.9,20.2,65.9,0.452,정상
특근,858.9,90.8,23.5,66.1,0.451,정상
특근,860.8,83.7,20.7,65.2,0.45,정상
특근,860.0,80.4,23.5,65.5,0.451,정상
특근,863.4,61.5,22.9,65.7,0.447,정상
특근,855.8,98.1,20.3,65.8,0.443,정상
특근,860.4,71.5,20.6,66.1,0.45,정상
특근,858.0,67.0,21.8,66.2,0.443,정상
특근,860.0,75.6,22.5,66.3,0.447,정상
특근,860.1,77.2,24.1,66.5,0.45,정상
특근,860.2,77.2,19.8,65.6,0.449,정상
특근,859.0,91.5,19.7,65.5,0.449,정상
특근,857.5,91.2,23.8,65.7,0.45,정상
특근,860.1,74.8,21.1,65.8,0.449,정상
특근,859.9,78.9,20.1,66.1,0.449,정상
특근,860.4,71.6,22.3,66.2,0.451,정상
특근,859.1,91.0,20.7,65.6,0.452,정상
특근,858.5,100.0,24.5,65.8,0.453,정상
특근,857.8,100.0,21.4,65.9,0.45,정상
특근,859.3,87.2,22.1,66.0,0.45,정상
특근,860.1,70.9,19.5,66.1,0.45,정상
특근,861.0,61.5,20.3,66.3,0.45,정상
특근,858.7,71.1,21.5,66.1,0.445,정상
특근,861.4,60.1,22.0,65.4,0.451,정상
특근,858.9,97.5,20.9,65.5,0.448,정상
특근,859.8,74.4,22.5,65.7,0.45,정상
특근,859.5,93.3,23.8,65.9,0.451,정상
특근,860.1,68.7,22.2,65.9,0.45,정상
특근,860.9,58.7,21.5,66.0,0.45,정상
특근,858.8,88.0,22.2,65.6,0.452,정상
특근,861.8,61.6,22.1,65.4,0.446,정상
특근,857.3,91.6,24.7,65.5,0.45,정상
특근,859.0,58.7,22.0,65.8,0.455,정상
특근,860.3,81.5,23.1,65.9,0.452,정상
특근,859.2,76.8,23.4,65.9,0.452,정상
특근,860.7,67.7,22.5,65.8,0.448,정상
특근,856.5,85.4,13.7,64.8,0.442,정상
특근,859.9,79.5,27.0,64.6,0.45,정상
특근,858.1,98.4,27.6,69.8,0.451,정상
특근,860.0,87.7,23.3,70.3,0.452,정상
특근,861.1,65.2,23.5,70.8,0.453,정상
특근,859.1,86.5,18.8,71.2,0.448,정상
특근,860.2,83.3,22.7,70.9,0.45,정상
특근,859.3,84.6,23.9,70.1,0.448,정상
특근,860.1,83.6,23.1,69.1,0.451,정상
특근,860.4,69.7,26.1,67.8,0.449,정상
특근,860.7,66.9,26.2,67.4,0.45,정상
특근,859.9,86.5,21.9,67.8,0.45,정상
특근,859.3,87.9,22.9,68.4,0.449,정상
특근,858.6,88.8,23.9,69.1,0.451,정상
특근,860.2,81.2,25.5,69.8,0.452,정상
특근,860.0,74.3,21.3,70.4,0.451,정상
특근,860.4,64.8,24.5,71.1,0.449,정상
특근,858.6,98.2,20.4,70.0,0.451,정상
특근,859.7,81.1,21.0,69.2,0.448,정상
특근,861.6,44.4,22.0,68.7,0.45,정상
특근,857.9,63.0,21.0,68.8,0.449,정상
특근,861.2,96.0,20.9,69.5,0.45,정상
특근,858.6,93.3,21.0,70.1,0.45,정상
특근,860.0,67.0,20.5,70.8,0.452,정상
특근,860.0,73.9,20.5,71.2,0.449,정상
특근,860.0,84.3,22.0,69.7,0.448,정상
특근,859.8,82.4,20.2,68.7,0.448,정상
특근,860.5,69.2,22.5,68.2,0.447,정상
특근,859.2,100.0,22.3,68.7,0.451,정상
특근,859.7,81.2,24.8,69.4,0.451,정상
특근,860.5,69.7,21.1,70.0,0.451,정상
특근,858.1,69.6,21.4,70.7,0.448,정상
특근,861.4,49.5,21.4,70.9,0.45,정상
특근,858.1,100.0,20.2,69.8,0.45,정상
특근,858.8,86.8,20.3,69.1,0.449,정상
특근,860.1,80.8,23.0,68.4,0.45,정상
특근,860.3,79.2,21.0,68.6,0.449,정상
특근,859.7,84.1,21.9,69.3,0.451,정상
특근,859.3,100.0,21.6,69.9,0.451,정상
특근,859.0,87.5,22.7,70.4,0.449,정상
특근,859.7,67.3,23.7,70.5,0.451,정상
특근,860.6,68.9,24.5,70.7,0.443,정상
특근,861.6,57.2,23.6,71.0,0.4,정상
특근,854.1,95.7,22.8,70.8,0.456,이상
특근,858.9,100.0,20.6,69.8,0.448,정상
특근,859.6,79.4,21.9,68.7,0.449,정상
특근,859.8,81.2,25.2,68.4,0.447,정상
특근,859.7,82.3,22.7,68.6,0.45,정상
특근,860.1,69.7,25.1,67.6,0.447,정상
특근,859.7,81.7,10.9,67.8,0.451,정상
특근,860.3,72.9,27.7,68.5,0.451,정상
