측정시각,불량여부,사이클시간,성형사이클,배럴온도1,배럴온도2,배럴온도3,배럴온도4,호퍼온도,최대사출속도,사출압력,스크루위치,전환위치,계량시간,계량시작점,최대사출압,전환압력,계량시작위치,스크루속도,최소쿠션,계량종료점,감압시간
2024-05-07 08:04:15,1,16.6,16.64,210.1,200.0,193.8,188.5,40.0,78.05,1.31,6.53,8.12,4.9,11.04,1275.88,1159.28,11.05,46.54,,63.11,0.32
2024-05-07 08:04:32,1,16.6,16.62,210.0,200.0,193.9,188.7,40.1,78.16,1.3,6.44,8.12,4.89,10.92,1268.65,1171.37,10.93,45.83,6.44,63.12,0.32
2024-05-07 08:04:49,1,16.62,16.6,210.0,200.0,194.0,188.7,40.1,78.15,1.31,6.49,8.14,4.84,10.97,,,,39.83,6.49,,
2024-05-07 08:05:06,1,16.62,16.64,209.9,199.9,194.0,188.7,40.0,78.17,1.31,6.43,8.12,4.9,10.91,1291.47,1139.57,10.92,44.84,6.43,,
2024-05-07 08:05:23,1,16.62,16.62,210.0,199.9,194.0,188.7,40.0,78.09,1.31,6.5,8.12,4.87,10.95,1257.17,1184.97,10.97,47.88,,63.11,0.32
2024-05-07 08:05:40,1,16.62,16.64,210.0,200.1,194.1,188.9,40.0,78.11,1.32,6.5,8.14,4.89,10.97,1262.54,1166.76,10.99,48.27,6.5,,
2024-05-07 08:05:57,1,16.62,16.64,209.9,200.1,194.3,189.0,40.0,78.07,1.33,,8.12,4.9,10.95,1273.64,1156.53,10.96,48.16,6.47,63.12,0.32
2024-05-07 08:06:14,1,16.64,16.64,210.0,200.1,194.3,189.0,40.0,78.13,1.34,6.52,8.13,4.87,10.99,1289.23,1146.8,11.0,46.9,6.52,63.11,0.32
2024-05-07 08:06:31,1,16.64,16.64,210.0,200.0,194.3,189.0,40.0,78.21,1.32,6.38,8.14,4.9,10.89,1280.99,1149.8,10.9,45.5,,63.12,0.32
2024-05-07 08:06:48,1,16.62,16.64,210.0,200.0,194.3,189.1,40.1,78.23,1.32,6.36,8.14,4.92,10.85,1267.15,1126.97,10.86,42.8,,63.11,0.32
2024-05-07 08:07:05,1,16.62,16.64,210.1,200.0,194.3,189.2,40.1,78.08,1.31,6.51,8.14,4.9,10.98,1274.14,1170.75,11.02,46.8,6.51,,
2024-05-07 08:07:22,1,16.62,16.62,210.0,200.1,194.3,189.2,40.1,78.08,1.32,6.47,8.13,4.9,10.98,,,,44.29,6.47,,
2024-05-07 08:07:39,1,16.62,16.64,210.0,200.0,194.3,189.2,40.1,78.12,1.31,6.49,8.12,4.88,11.01,1286.23,1158.15,11.03,45.54,6.49,63.11,0.32
2024-05-07 08:07:56,1,16.62,16.62,210.0,200.0,194.2,189.3,40.1,78.02,1.31,6.58,8.13,4.87,11.06,1251.94,1193.95,11.08,47.67,6.58,63.11,0.32
2024-05-07 08:08:13,1,16.62,16.62,210.0,200.1,194.2,189.5,40.0,78.1,1.31,6.53,8.11,4.88,11.02,1251.44,1188.33,11.02,47.95,6.53,63.11,0.32
2024-05-07 08:08:30,1,16.62,16.64,210.0,199.9,194.3,189.5,40.0,78.09,1.32,6.54,8.1,4.87,11.06,1238.97,1208.91,11.06,47.44,,63.11,0.32
2024-05-07 08:08:47,1,16.62,16.64,210.0,199.9,194.3,189.4,39.9,78.2,1.32,6.37,8.1,4.9,10.88,1268.9,1167.51,10.89,48.48,6.37,63.11,0.32
2024-05-07 08:09:04,1,16.62,16.64,209.9,200.1,194.3,189.5,40.0,78.09,1.32,6.43,8.14,4.84,10.93,1284.61,1144.81,10.94,45.38,6.43,,
2024-05-07 08:09:21,0,16.62,16.64,210.1,200.1,194.3,189.6,40.2,78.11,1.31,6.47,,4.86,10.98,1284.24,1149.92,10.99,45.57,6.47,,
2024-05-07 08:09:38,0,16.62,16.62,210.1,200.1,194.5,189.6,40.2,78.13,1.31,6.44,8.14,4.87,10.94,1273.39,1158.65,10.95,46.49,6.44,63.11,0.32
2024-05-07 08:09:55,0,16.62,16.62,210.0,199.9,194.5,189.7,40.2,78.22,1.31,6.44,8.13,4.86,10.9,1280.62,1132.96,10.91,44.05,6.44,,
2024-05-07 08:10:12,0,16.62,16.64,210.1,200.0,194.6,189.6,40.2,78.22,1.32,6.46,8.13,4.9,10.93,1275.51,1126.1,10.95,43.65,,63.11,0.32
2024-05-07 08:10:29,0,16.62,16.64,210.0,200.0,194.6,189.8,40.2,78.08,1.33,6.48,8.13,4.92,11.01,1285.23,1152.91,11.02,45.88,6.48,63.11,0.32
2024-05-07 08:10:46,0,16.62,16.65,209.9,200.1,194.7,189.9,40.1,78.13,1.32,6.44,8.11,4.88,10.96,1261.29,1173.37,10.98,48.16,,63.11,0.32
2024-05-07 08:11:03,0,16.62,16.64,210.0,200.1,194.8,189.9,40.1,78.15,1.32,6.48,8.1,4.93,10.94,1250.07,1176.11,10.95,47.86,,,
2024-05-07 08:11:20,0,16.62,16.64,209.9,200.0,194.6,189.8,39.8,78.13,1.31,6.5,8.11,4.87,10.97,1254.31,1188.71,10.98,47.81,6.5,63.12,0.32
2024-05-07 08:11:37,0,16.62,16.62,210.0,200.0,194.7,189.9,40.0,78.12,1.31,6.48,8.14,4.8,10.97,,,,42.67,6.48,63.11,0.32
2024-05-07 08:11:54,0,16.6,16.64,210.0,199.9,194.8,190.0,40.0,78.18,1.31,6.42,8.12,4.9,10.93,1254.06,1117.87,10.94,40.35,6.42,63.12,0.32
2024-05-07 08:12:11,0,16.6,16.62,209.9,200.0,194.8,190.0,40.3,78.08,1.31,6.5,8.12,4.86,10.99,1271.52,1133.34,11.0,41.46,,63.11,0.33
2024-05-07 08:12:28,0,16.6,16.62,210.0,200.0,194.7,189.9,40.3,78.12,1.31,6.5,8.14,4.86,10.97,1266.65,1171.62,11.0,47.41,,63.11,0.32
2024-05-07 08:12:45,0,16.62,16.62,210.0,199.9,194.7,190.0,40.2,78.19,1.32,6.48,8.11,4.89,10.96,1241.21,1204.05,10.98,47.39,6.48,63.11,0.33
2024-05-07 08:13:02,0,16.62,16.64,210.0,200.0,194.7,189.9,40.1,78.08,1.32,6.52,8.13,4.93,11.02,1269.9,1169.0,11.03,48.43,,63.11,0.32
2024-05-07 08:13:19,0,16.62,16.64,210.0,200.1,194.7,190.0,40.0,78.14,1.33,6.48,8.14,4.96,10.98,1275.26,1163.76,10.99,48.81,,63.11,0.32
2024-05-07 08:13:36,0,16.62,16.64,209.9,199.9,194.7,190.0,39.9,78.1,1.33,6.47,8.13,4.91,10.98,1285.11,1153.41,11.0,46.39,6.47,63.12,0.32
2024-05-07 08:13:53,0,16.62,16.64,210.0,199.9,194.8,189.9,39.9,78.05,1.32,6.52,8.11,4.9,11.04,1272.26,1170.62,11.05,46.94,,63.12,0.32
2024-05-07 08:14:10,0,16.62,16.62,210.0,200.1,194.8,190.0,39.9,78.08,1.32,6.5,8.1,4.84,11.02,,,,46.44,,,
2024-05-07 08:14:27,0,16.62,16.64,210.0,200.0,194.8,190.0,40.0,78.11,1.32,6.47,8.12,4.87,10.97,1288.35,1139.45,10.98,44.78,6.47,63.12,0.33
2024-05-07 08:14:44,0,16.62,16.62,210.0,200.0,194.9,190.0,40.3,78.24,1.32,6.4,8.14,4.94,10.88,1230.24,1083.57,10.9,36.3,,63.11,0.32
2024-05-07 08:15:01,0,16.62,16.64,210.0,199.9,194.9,190.0,40.3,78.14,1.31,6.47,,4.9,10.98,,,,46.84,6.47,,
2024-05-07 08:15:18,0,16.62,16.62,210.0,200.0,194.8,190.0,40.3,78.0,1.31,6.56,8.14,4.81,11.03,1244.33,1196.19,11.04,47.39,6.56,63.12,0.32
2024-05-07 08:15:35,0,16.62,16.62,210.0,200.0,194.8,190.1,40.2,78.14,1.31,6.48,8.14,4.86,10.95,1245.58,1185.22,10.96,47.87,,63.11,0.32
2024-05-07 08:15:52,0,16.6,16.64,210.0,200.1,195.0,190.2,40.0,78.11,1.31,6.53,8.12,4.87,10.99,1253.56,1186.71,11.0,48.04,6.53,63.11,0.32
2024-05-07 08:16:09,0,16.62,16.62,210.0,200.0,195.0,190.1,40.0,78.26,1.32,6.37,8.13,4.87,10.88,1281.24,1146.31,10.89,46.11,6.37,63.11,0.33
2024-05-07 08:16:26,0,16.62,16.62,210.1,200.1,194.8,190.0,40.0,78.2,1.32,6.41,8.1,4.86,10.91,1284.74,1155.91,10.92,46.01,6.41,63.11,0.32
2024-05-07 08:16:43,0,16.62,16.64,210.0,199.9,194.8,190.0,39.9,78.07,1.33,6.56,8.1,4.84,11.0,,,,47.61,6.56,63.12,0.32
2024-05-07 08:17:00,0,16.64,16.64,210.0,200.0,194.8,190.0,40.0,78.02,1.33,6.62,8.13,4.86,11.05,1252.68,1194.19,11.07,47.58,6.62,63.12,0.32
2024-05-07 08:17:17,0,16.62,16.66,210.0,200.1,194.9,190.2,40.2,78.14,1.33,6.53,8.14,4.87,10.97,1238.97,1203.17,10.99,46.2,6.53,63.11,0.32
2024-05-07 08:17:34,0,16.64,16.65,210.0,200.1,195.0,190.1,40.3,78.15,1.34,6.49,8.13,4.83,10.98,1276.88,1156.91,10.99,48.42,6.49,63.11,0.32
2024-05-07 08:17:51,0,16.64,16.66,210.0,200.1,194.9,190.1,40.2,78.17,1.34,6.41,8.13,4.84,10.88,1288.6,1139.45,10.9,45.67,6.41,63.11,0.33
2024-05-07 08:18:08,0,16.64,16.66,210.0,200.1,194.9,190.0,40.1,78.15,1.35,6.49,8.1,,,1261.17,1172.37,10.96,48.61,6.49,63.11,0.32
2024-05-07 08:18:25,0,16.64,16.66,209.9,200.0,194.8,190.0,40.1,78.16,1.35,6.49,8.1,4.88,10.95,,,,48.95,6.49,63.11,0.32
2024-05-07 08:18:42,0,16.64,16.67,210.0,200.1,194.8,190.0,40.0,78.1,1.33,,8.13,4.91,11.02,1237.84,1207.04,11.04,46.37,6.57,63.12,0.33
2024-05-07 08:18:59,0,16.62,16.64,210.0,200.1,195.1,190.3,40.0,78.18,1.32,6.45,8.11,4.9,10.96,1249.94,1195.07,10.97,47.71,6.45,,
2024-05-07 08:19:16,0,16.62,16.64,210.0,200.1,195.2,190.2,40.0,78.23,1.32,6.4,8.1,4.89,10.89,1289.1,1134.96,10.9,44.44,6.4,63.11,0.33
2024-05-07 08:19:33,0,16.62,16.64,210.0,200.1,195.0,190.2,40.0,78.16,1.32,6.49,8.13,4.86,10.97,1263.04,1171.0,10.98,47.8,6.49,63.11,0.32
2024-05-07 08:19:50,0,16.64,16.62,210.0,200.1,195.0,190.3,40.0,78.08,1.33,6.58,8.13,4.85,11.05,1240.59,1200.31,11.06,47.21,6.58,63.11,0.32
2024-05-07 08:20:07,0,16.64,16.64,210.0,200.0,195.1,190.3,40.2,78.19,1.33,6.45,8.12,4.88,10.96,1234.98,1213.65,10.96,46.2,6.45,,
2024-05-07 08:20:24,0,16.64,16.64,210.0,200.1,195.0,190.3,40.3,78.09,1.33,6.6,8.14,4.85,11.05,1236.35,1215.02,11.07,46.4,,63.11,0.32
2024-05-07 08:20:41,0,16.64,16.66,210.0,200.0,195.0,190.2,40.2,78.04,1.34,6.59,8.11,4.83,11.1,1279.25,1168.5,11.1,49.38,6.59,63.11,0.33
2024-05-07 08:20:58,0,16.64,16.64,210.0,200.0,195.1,190.1,40.2,78.24,1.34,6.45,8.13,,,,,,,6.45,,
2024-05-07 08:21:15,0,16.64,16.66,210.0,199.9,195.0,190.0,40.1,78.16,1.34,6.49,8.12,4.88,10.98,1284.61,1151.04,10.99,46.05,6.49,63.11,0.32
2024-05-07 08:21:32,0,16.64,16.64,210.0,200.0,195.1,190.1,40.1,78.14,1.34,6.52,8.11,4.91,11.03,1260.67,1177.11,11.04,,6.52,,
2024-05-07 08:21:49,0,16.62,16.66,210.0,200.1,195.2,190.2,40.0,78.25,1.32,6.45,8.13,4.86,10.94,1262.16,1168.25,10.95,47.71,6.45,63.12,0.32
2024-05-07 08:22:06,0,16.62,16.64,210.0,200.1,195.2,190.1,40.0,78.18,1.33,6.55,8.14,4.87,11.0,1246.57,1193.32,11.01,47.83,6.55,63.11,0.33
2024-05-07 08:22:23,0,16.62,16.64,210.0,200.1,195.2,190.2,40.0,78.26,1.33,6.47,8.1,4.9,10.97,1262.41,1168.88,10.97,48.83,,63.11,0.32
2024-05-07 08:22:40,0,16.62,16.65,210.0,200.1,195.1,190.1,40.0,78.09,1.32,6.53,8.11,4.85,11.02,1257.92,1174.49,11.04,48.32,6.53,63.12,0.32
2024-05-07 08:22:57,0,16.62,16.64,210.0,200.2,195.1,190.1,40.0,78.12,1.33,6.5,8.11,4.85,11.03,1242.71,1197.31,11.04,48.37,6.5,63.11,0.32
2024-05-07 08:23:14,0,16.62,16.64,210.0,200.2,195.2,190.2,40.2,78.14,1.32,6.5,8.14,4.89,11.0,1273.14,1157.16,11.01,47.93,6.5,63.11,0.32
2024-05-07 08:23:31,0,16.62,16.62,210.0,200.1,195.1,190.2,40.2,78.27,1.32,6.48,8.13,4.91,10.95,1238.97,1199.93,10.96,,6.48,,
2024-05-07 08:23:48,0,16.62,16.64,210.0,200.0,195.1,190.1,40.3,78.16,1.33,6.52,8.14,4.9,11.02,1257.92,1176.61,11.02,47.78,,63.12,0.32
2024-05-07 08:24:05,0,16.62,16.64,210.0,200.1,195.0,190.1,40.3,78.16,1.33,6.52,8.11,4.91,10.99,1265.03,1176.73,11.03,48.12,,,
2024-05-07 08:24:22,0,16.62,16.64,210.0,200.0,195.1,190.1,40.2,78.2,1.32,6.5,8.12,4.91,10.97,1251.31,1185.22,10.98,47.93,6.5,,
2024-05-07 08:24:39,0,16.62,16.64,210.0,200.0,195.1,190.0,40.1,78.16,1.33,6.54,8.13,4.85,11.03,1249.82,1179.6,11.04,,6.54,63.11,0.32
2024-05-07 08:24:56,0,16.64,16.64,210.0,200.0,195.0,190.0,40.1,78.18,1.34,6.49,8.1,4.89,10.96,1246.32,1185.09,10.98,,,63.11,0.32
2024-05-07 08:25:13,0,16.64,16.64,210.0,200.0,194.9,190.0,40.1,78.28,1.34,6.39,,4.9,10.9,1255.8,1177.86,10.9,48.13,6.39,63.11,0.33
2024-05-07 08:25:30,0,16.62,16.66,210.0,200.1,195.2,190.0,40.1,78.4,1.33,6.28,8.13,4.86,10.78,1281.24,1139.32,10.79,,6.28,,
2024-05-07 08:25:47,0,16.62,16.64,210.1,200.0,195.3,190.0,40.0,78.21,1.33,6.47,8.1,4.85,10.98,1274.14,1159.28,10.98,47.19,6.47,63.11,0.32
2024-05-07 08:26:04,0,16.62,16.64,210.0,200.0,195.2,190.0,40.0,78.17,1.32,6.53,8.12,4.88,11.05,1258.3,1182.6,11.06,47.42,6.53,,
2024-05-07 08:26:21,0,16.62,16.62,210.1,200.1,195.1,190.0,40.2,78.13,1.32,6.56,8.12,4.88,11.03,,,,47.53,6.56,,
2024-05-07 08:26:38,0,16.62,16.64,210.0,200.1,195.1,190.1,40.2,78.14,1.32,6.58,8.1,4.87,11.03,,,,46.67,6.58,,
2024-05-07 08:26:55,0,16.6,16.64,210.0,200.2,195.2,190.2,40.2,78.15,1.32,6.53,8.11,4.88,11.02,,,,48.04,6.53,,
2024-05-07 08:27:12,0,16.62,16.63,209.9,200.2,195.1,190.2,40.1,78.18,1.32,6.51,8.12,4.85,10.98,1279.25,1163.02,10.99,48.66,6.51,63.12,0.32
2024-05-07 08:27:29,0,16.64,16.64,210.0,200.2,195.0,190.1,40.1,78.13,1.34,6.55,8.14,4.86,11.04,1251.06,1179.98,11.05,,,,
2024-05-07 08:27:46,0,16.64,16.64,210.0,200.1,194.9,190.1,40.2,78.09,1.34,6.54,8.12,4.9,11.03,,,,,,,
2024-05-07 08:28:03,0,16.62,16.66,210.0,200.1,195.0,190.2,40.1,78.04,1.34,6.66,8.11,4.9,11.12,1253.31,1181.72,11.13,47.87,,63.11,0.33
2024-05-07 08:28:20,0,16.64,16.65,210.0,200.2,195.1,190.3,40.2,78.19,1.34,6.53,8.13,4.86,10.99,1251.69,1188.21,11.01,,,,
2024-05-07 08:28:37,0,16.66,16.67,210.0,200.1,195.1,190.2,40.2,78.16,1.35,6.51,8.1,4.88,11.0,,,,,6.51,,
2024-05-07 08:28:54,0,16.66,16.66,210.0,200.1,195.1,190.1,40.1,78.3,1.35,6.43,8.12,,,1283.86,1155.03,10.95,,6.43,63.11,0.32
2024-05-07 08:29:11,0,16.64,16.66,210.0,200.1,195.1,190.1,40.2,78.33,1.34,6.38,8.14,4.9,10.89,1258.67,1173.24,10.91,,,63.11,0.33
2024-05-07 08:29:28,0,16.64,16.67,210.0,200.1,195.2,190.1,40.2,78.21,1.34,6.46,8.12,4.89,10.98,1239.71,1191.95,10.98,,6.46,,
2024-05-07 08:29:45,0,16.64,16.64,210.1,200.1,195.2,190.1,40.2,78.24,1.33,6.52,8.12,,,1236.22,1203.05,10.99,,6.52,63.11,0.32
2024-05-07 08:30:02,0,16.64,16.64,210.0,200.1,195.2,190.0,40.1,78.2,1.33,6.52,8.11,4.87,10.99,1236.6,1209.66,11.01,,6.52,63.11,0.32
2024-05-07 08:30:19,0,16.64,16.64,210.1,200.1,195.1,190.0,40.1,78.28,1.34,6.44,8.1,,,1253.06,1193.7,10.95,,6.44,63.11,0.32
2024-05-07 08:30:36,0,16.64,16.67,210.0,199.9,195.1,190.0,40.1,78.13,1.34,6.55,8.12,4.85,11.04,1254.31,1185.96,11.05,,6.55,63.11,0.32
2024-05-07 08:30:53,0,16.64,16.64,210.0,200.1,195.1,190.1,40.0,78.15,1.33,6.51,8.11,4.84,11.01,1251.19,1191.95,11.03,,,63.11,0.33
2024-05-07 08:31:10,0,16.64,16.66,210.0,200.1,195.1,190.1,40.0,78.16,1.33,6.5,8.13,4.84,10.97,1255.3,1173.37,11.0,48.07,6.5,63.11,0.33
2024-05-07 08:31:27,0,16.64,16.64,209.9,200.0,194.9,190.1,40.0,78.11,1.34,6.65,8.14,,,1236.85,1202.68,11.13,,6.65,,
2024-05-07 08:31:44,0,16.64,16.66,209.9,199.9,194.9,189.9,40.0,78.2,1.34,6.52,8.13,4.85,10.99,1251.44,1177.61,11.0,,6.52,,
2024-05-07 08:32:01,0,16.66,16.64,210.0,199.9,194.8,189.9,40.0,78.19,1.35,6.53,8.11,4.84,11.01,1261.29,1171.0,11.02,49.49,,63.11,0.33
2024-05-07 08:32:18,0,16.64,16.68,210.0,199.9,194.9,189.9,40.2,78.17,1.35,6.49,8.11,4.92,10.98,1244.83,1186.34,10.99,,,,
2024-05-07 08:32:35,0,16.64,16.66,209.9,200.1,194.9,190.0,40.2,78.17,1.35,6.51,8.13,4.86,10.97,1256.92,1183.72,10.99,48.97,,63.11,0.32
2024-05-07 08:32:52,0,16.64,16.66,210.0,200.1,194.9,190.0,40.2,78.11,1.34,6.53,8.13,4.84,11.02,1264.41,1171.12,11.04,,6.53,,
2024-05-07 08:33:09,0,16.62,16.66,210.0,200.1,194.8,190.0,40.1,78.14,1.33,,8.13,4.83,11.05,1257.17,1195.82,11.05,,6.55,63.11,0.32
2024-05-07 08:33:26,0,16.62,16.64,209.9,199.9,194.9,189.9,40.1,78.1,1.33,6.61,8.12,4.83,11.06,,,,,6.61,,
2024-05-07 08:33:43,0,16.62,16.64,210.1,199.9,194.9,189.9,39.9,78.15,1.33,6.51,8.1,4.82,11.02,1256.92,1195.69,11.03,46.48,6.51,63.11,0.32
2024-05-07 08:34:00,0,16.62,16.64,210.0,199.9,194.9,189.8,39.9,78.03,1.33,6.59,8.11,,,1252.19,1203.42,11.09,46.58,6.59,63.12,0.33
2024-05-07 08:34:17,0,16.64,16.62,210.0,199.9,195.1,189.9,40.0,78.11,1.33,6.54,8.13,4.85,11.0,1245.95,1207.16,11.02,46.99,6.54,63.12,0.33
2024-05-07 08:34:34,0,16.64,16.66,210.0,200.1,195.1,190.1,40.2,77.99,1.34,6.65,8.11,4.85,11.14,1241.21,1215.77,11.15,45.73,6.65,63.11,0.33
2024-05-07 08:34:51,0,16.64,16.64,209.9,200.1,195.1,190.2,40.3,78.03,1.34,6.6,8.14,,,1241.83,1202.3,11.11,46.6,6.6,,
2024-05-07 08:35:08,0,16.64,16.66,209.9,200.1,195.0,190.1,40.1,78.15,1.34,6.56,8.14,4.88,11.03,1261.54,1180.85,11.04,,6.56,,
2024-05-07 08:35:25,0,16.62,16.66,209.9,200.1,195.0,190.1,40.1,78.13,1.33,6.51,8.13,4.87,10.99,1282.12,1167.26,11.04,45.52,6.51,63.11,0.32
2024-05-07 08:35:42,0,16.64,16.65,210.0,199.9,194.9,189.9,39.8,78.29,1.33,6.41,8.12,4.89,10.9,1279.5,1156.66,10.92,45.71,6.41,,
2024-05-07 08:35:59,0,16.66,16.64,210.0,200.0,195.1,189.9,39.9,78.18,1.34,6.5,8.12,4.84,10.96,1266.28,1172.74,10.98,,6.5,,
2024-05-07 08:36:16,0,16.66,16.66,210.0,200.1,195.1,190.0,40.1,78.23,1.35,6.46,8.1,4.85,10.94,1278.13,1162.89,10.95,47.64,,63.11,0.32
2024-05-07 08:36:33,0,16.64,16.66,210.0,200.2,195.1,190.0,40.2,78.23,1.34,6.48,8.14,4.83,10.95,1264.53,1167.51,10.95,47.71,6.48,63.11,0.33
2024-05-07 08:36:50,0,16.64,16.66,210.0,200.1,195.1,190.0,40.2,78.19,1.35,6.51,8.1,4.84,11.02,1260.54,1191.08,11.03,49.29,6.51,63.11,0.32
2024-05-07 08:37:07,0,16.64,16.66,209.9,200.1,195.1,189.9,40.2,78.16,1.34,6.46,8.11,4.87,10.96,1258.55,1180.6,10.97,48.71,6.46,63.12,0.32
2024-05-07 08:37:24,0,16.64,16.64,210.0,199.9,195.0,189.9,40.1,78.08,1.33,6.6,8.13,4.89,11.04,1242.58,1213.15,11.06,46.39,,,
2024-05-07 08:37:41,0,16.62,16.66,209.9,200.1,195.0,189.9,39.9,78.14,1.32,6.49,8.13,4.89,10.99,1248.2,1200.55,11.0,46.78,6.49,,
2024-05-07 08:37:58,0,16.64,16.62,210.1,200.1,195.1,190.0,39.9,78.06,1.32,6.61,8.12,4.82,11.07,,,,,6.61,,
2024-05-07 08:38:15,0,16.62,16.64,210.1,200.1,195.2,190.1,40.0,78.27,1.32,6.48,8.11,4.85,10.92,,,,,6.48,,
2024-05-07 08:38:32,0,16.64,16.65,210.1,200.1,195.2,190.1,40.2,78.15,1.35,6.53,8.1,4.86,11.04,1276.88,1175.36,11.04,,6.53,,
2024-05-07 08:38:49,0,16.66,16.67,210.1,199.9,195.1,190.0,40.2,78.13,1.35,6.61,8.1,4.85,11.05,,,,,6.61,,
2024-05-07 08:39:06,0,16.64,16.66,210.0,200.0,194.9,189.9,40.2,78.15,1.34,6.51,8.14,4.82,10.99,1262.04,1175.61,11.0,,6.51,,
2024-05-07 08:39:23,0,16.64,16.67,210.1,199.9,195.0,189.9,40.1,78.21,1.35,6.47,8.11,4.85,10.93,1249.94,1183.22,10.94,,6.47,,
2024-05-07 08:39:40,0,16.66,16.67,210.1,200.0,195.1,190.0,40.0,78.14,1.36,6.53,8.1,4.83,11.01,,,,47.58,6.53,,
2024-05-07 08:39:57,0,16.66,16.68,210.0,200.1,195.2,190.2,40.0,78.18,1.36,6.5,8.11,4.85,10.98,1260.42,1183.59,11.0,48.3,6.5,,
2024-05-07 08:40:14,0,16.66,16.66,210.0,200.1,195.2,190.3,40.0,78.12,1.35,6.5,8.12,4.82,10.99,,,,,6.5,63.11,0.32
2024-05-07 08:40:31,0,16.64,16.66,210.0,200.1,195.2,190.3,39.9,78.15,1.34,6.52,8.14,4.82,11.0,1273.76,1168.01,11.01,46.52,6.52,63.12,0.33
2024-05-07 08:40:48,0,16.62,16.66,210.0,200.1,195.3,190.3,40.0,78.2,1.33,6.51,8.11,4.85,10.98,1254.06,1199.31,10.99,46.51,6.51,63.12,0.33
2024-05-07 08:41:05,0,16.64,16.65,210.0,200.1,195.3,190.1,40.1,78.21,1.33,6.5,8.11,4.86,10.96,,,,46.74,6.5,,
2024-05-07 08:41:22,0,16.64,16.66,209.9,200.1,195.1,190.0,40.2,78.2,1.33,6.52,8.12,4.87,11.01,1249.57,1201.68,11.03,,6.52,,
2024-05-07 08:41:39,0,16.64,16.64,210.0,200.1,195.0,190.0,40.2,78.13,1.33,6.59,8.13,4.82,11.06,1242.83,1207.79,11.07,46.41,6.59,,
2024-05-07 08:41:56,0,16.66,16.64,209.9,200.1,195.0,190.0,40.2,78.16,1.35,6.5,8.14,4.87,10.99,1259.42,1179.73,11.0,,6.5,,
2024-05-07 08:42:13,0,16.64,16.66,210.0,200.1,195.1,190.1,40.1,78.23,1.34,6.44,8.1,4.89,10.9,1238.72,1204.17,10.92,46.89,6.44,63.11,0.33
