샷,실린더압력,주조압력,사이클타임,비스킷두께,형체력,상태
71,214.0,1038.0,21.2,12.0,254.0,0
72,214.0,1038.0,21.1,12.0,253.0,0
73,218.0,1057.0,21.2,13.0,257.0,0
74,218.0,1055.0,21.3,12.0,258.0,0
75,215.0,1041.0,21.2,13.0,258.0,0
76,218.0,1055.0,21.1,13.0,259.0,0
77,218.0,1057.0,21.0,13.0,259.0,0
78,215.0,1041.0,21.0,12.0,253.0,0
79,218.0,1057.0,21.4,13.0,257.0,0
80,218.0,1054.0,21.3,14.0,253.0,0
81,218.0,1057.0,21.2,14.0,255.0,0
82,218.0,1056.0,21.3,13.0,255.0,0
83,216.0,1045.0,21.5,12.0,258.0,0
84,214.0,1038.0,21.2,12.0,258.0,0
85,239.0,1156.0,22.6,12.0,255.0,0
86,235.0,1135.0,22.6,11.0,254.0,0
87,239.0,1154.0,22.6,10.0,258.0,0
88,239.0,1157.0,22.7,11.0,253.0,0
89,235.0,1137.0,22.7,13.0,261.0,0
90,235.0,1137.0,22.5,7.0,255.0,0
91,239.0,1155.0,22.7,13.0,259.0,0
92,239.0,1155.0,22.5,13.0,250.0,0
93,235.0,1136.0,22.7,14.0,255.0,0
94,239.0,1158.0,22.8,15.0,257.0,0
95,,,,,,0
96,,,,,,0
97,,,,,,0
98,,,,,,0
99,,,,,,0
100,,,,,,0
101,,,,,,0
102,,,,,,0
103,,,,,,0
104,,,,,,0
105,,,,,,0
106,239.0,1159.0,22.7,14.0,254.0,0
107,239.0,1155.0,20.7,13.0,254.0,0
108,239.0,1157.0,23.7,13.0,253.0,0
109,264.0,594.0,36.4,18.0,363.0,0
110,265.0,596.0,36.6,17.0,352.0,0
111,264.0,595.0,37.0,18.0,361.0,0
112,265.0,595.0,36.9,17.0,355.0,0
113,264.0,594.0,33.9,16.0,363.0,0
114,264.0,594.0,34.0,13.0,355.0,0
115,265.0,596.0,34.1,16.0,357.0,0
116,265.0,595.0,34.0,17.0,355.0,0
117,264.0,595.0,34.0,17.0,355.0,0
118,264.0,595.0,33.9,16.0,355.0,0
119,264.0,595.0,33.9,17.0,357.0,0
120,264.0,594.0,33.9,18.0,357.0,0
121,265.0,596.0,33.9,19.0,354.0,0
122,264.0,595.0,33.7,15.0,364.0,0
123,265.0,596.0,33.7,19.0,357.0,0
124,265.0,595.0,33.9,19.0,359.0,0
125,265.0,595.0,33.8,19.0,355.0,0
126,264.0,595.0,33.8,18.0,350.0,0
127,263.0,591.0,33.9,13.0,361.0,0
128,265.0,595.0,34.0,17.0,366.0,0
129,263.0,592.0,34.0,18.0,363.0,0
130,265.0,596.0,33.9,16.0,368.0,0
131,265.0,596.0,34.0,14.0,361.0,0
132,265.0,596.0,33.9,15.0,372.0,0
133,265.0,596.0,35.0,19.0,373.0,0
134,263.0,593.0,36.2,15.0,372.0,0
135,265.0,597.0,36.1,18.0,372.0,0
136,265.0,595.0,36.0,19.0,377.0,0
137,265.0,596.0,36.0,17.0,375.0,0
138,265.0,595.0,35.9,17.0,375.0,0
139,265.0,596.0,36.0,17.0,377.0,0
140,265.0,595.0,36.0,15.0,377.0,0
141,265.0,596.0,36.0,16.0,377.0,0
142,265.0,596.0,35.9,17.0,381.0,0
143,265.0,595.0,36.0,17.0,381.0,0
144,265.0,596.0,36.0,18.0,377.0,0
145,265.0,596.0,36.1,13.0,377.0,0
146,265.0,597.0,36.0,17.0,377.0,0
147,263.0,592.0,125.9,19.0,372.0,0
148,265.0,596.0,36.0,17.0,375.0,0
149,265.0,596.0,36.0,19.0,377.0,0
150,265.0,596.0,36.1,19.0,350.0,0
151,265.0,596.0,36.0,17.0,373.0,0
152,265.0,595.0,35.9,19.0,381.0,0
153,265.0,595.0,36.0,19.0,352.0,0
154,265.0,596.0,36.0,18.0,363.0,0
155,265.0,595.0,35.8,19.0,363.0,0
156,265.0,596.0,35.7,19.0,364.0,0
157,265.0,595.0,35.9,16.0,352.0,0
158,264.0,594.0,35.6,16.0,373.0,0
159,265.0,597.0,35.8,16.0,377.0,0
160,264.0,595.0,35.8,18.0,381.0,0
161,265.0,595.0,35.8,18.0,381.0,0
162,265.0,596.0,36.0,17.0,381.0,0
163,264.0,595.0,36.0,17.0,382.0,0
164,265.0,595.0,35.8,19.0,379.0,0
165,265.0,596.0,35.8,18.0,379.0,0
166,265.0,596.0,35.7,18.0,379.0,0
167,264.0,595.0,35.9,18.0,382.0,0
168,265.0,596.0,36.0,19.0,379.0,0
169,265.0,596.0,36.1,18.0,382.0,0
170,265.0,596.0,36.1,18.0,382.0,0
171,265.0,596.0,36.1,20.0,370.0,0
172,265.0,595.0,36.1,17.0,384.0,0
173,265.0,595.0,36.1,17.0,366.0,0
174,265.0,596.0,36.1,17.0,357.0,0
175,265.0,595.0,36.0,18.0,357.0,0
176,265.0,596.0,36.0,17.0,359.0,0
177,264.0,595.0,36.0,17.0,361.0,0
178,264.0,595.0,36.0,17.0,355.0,0
179,265.0,595.0,36.1,16.0,372.0,0
180,265.0,596.0,36.2,18.0,382.0,0
181,108.0,522.0,652.3,14.0,222.0,1
182,214.0,1036.0,93.1,12.0,247.0,1
183,215.0,1041.0,21.3,4.0,258.0,1
184,216.0,1044.0,21.2,11.0,259.0,1
185,219.0,1058.0,21.3,2.0,255.0,1
186,218.0,1054.0,21.4,2.0,253.0,1
187,108.0,524.0,22.9,14.0,247.0,1
188,,,,,,1
189,,,,,,1
190,,,,,,1
191,238.0,1152.0,91.2,13.0,254.0,1
192,113.0,255.0,36.9,26.0,366.0,1
193,264.0,594.0,36.9,19.0,355.0,1
194,113.0,255.0,34.4,19.0,370.0,1
195,260.0,585.0,33.9,19.0,348.0,1
196,264.0,594.0,76.3,19.0,381.0,1
197,265.0,595.0,36.2,20.0,355.0,1
198,113.0,255.0,36.6,27.0,354.0,1
199,264.0,595.0,36.1,19.0,372.0,1
200,108.0,525.0,6170.0,15.0,237.0,1
8,215.0,1038.0,20.9,11.0,258.0,0
89,235.0,1137.0,22.7,13.0,261.0,0
