검사결과,지표01,지표02,지표03,지표04,지표05,지표06,지표07,지표08,지표09,지표10
합격,35.5,0.563,161.01,46.8,6.69,2545.2,58.9,109.59,2.01,41.1
합격,35.5,0.56,161.03,47.0,6.68,2545.9,58.7,109.6,2.01,41.1
합격,35.5,0.565,161.04,46.6,6.7,2543.4,59.2,109.61,2.0,41.1
합격,35.5,0.561,161.01,46.7,6.69,2545.3,59.0,109.6,2.0,41.1
합격,35.5,0.562,161.02,46.7,6.69,2544.7,58.9,109.58,2.0,41.2
합격,35.5,0.567,161.02,47.0,6.69,2542.7,59.0,109.58,2.0,41.2
합격,35.5,0.561,161.0,47.0,6.67,2544.2,58.8,109.6,2.0,41.2
합격,35.5,0.564,161.03,46.7,6.69,2542.0,59.0,109.59,1.99,41.2
합격,35.5,0.558,161.03,46.5,6.68,2541.1,59.0,109.59,2.0,41.2
합격,35.5,0.562,161.02,46.5,6.68,2542.8,58.9,109.57,2.01,41.2
합격,35.5,0.569,161.03,46.7,6.68,2542.9,58.8,109.59,2.01,41.2
합격,35.5,0.562,161.01,46.9,6.69,2540.4,59.0,109.61,1.99,41.2
합격,35.5,0.563,161.01,46.6,6.7,2539.9,59.2,109.59,2.0,41.2
합격,35.5,0.552,161.02,46.8,6.69,2541.7,59.0,109.61,2.01,41.2
합격,35.5,0.556,161.02,46.7,6.69,2542.3,58.9,109.6,2.01,41.2
합격,35.5,0.562,161.02,46.6,6.7,2540.4,59.2,109.61,2.01,41.2
합격,35.5,0.561,161.02,46.4,6.7,2540.8,59.2,109.59,2.01,41.1
합격,35.5,0.56,161.03,46.7,6.68,2540.7,58.9,109.59,2.0,41.1
합격,35.5,0.562,161.04,46.7,6.69,2543.9,58.9,109.59,2.01,41.1
합격,35.5,0.562,161.02,46.7,6.7,2544.2,59.1,109.6,2.0,41.1
합격,35.5,0.555,161.01,46.6,6.69,2543.6,59.0,109.62,2.0,41.1
합격,35.5,0.551,161.02,46.5,6.7,2544.9,59.1,109.58,2.01,41.1
합격,35.5,0.553,161.06,46.7,6.7,2547.9,59.0,109.63,2.0,41.1
합격,35.5,0.556,161.04,46.8,6.7,2548.2,59.0,109.61,2.0,41.1
합격,35.5,0.555,161.04,46.7,6.69,2548.9,58.9,109.58,2.01,41.1
합격,35.5,0.558,161.04,46.7,6.68,2547.1,58.8,109.6,1.99,41.1
합격,35.5,0.556,161.07,46.7,6.69,2548.1,58.9,109.64,2.0,41.1
합격,35.5,0.554,161.03,46.8,6.69,2548.5,58.8,109.58,2.0,41.1
합격,35.5,0.556,161.07,46.9,6.69,2545.2,58.9,109.61,2.0,41.1
합격,35.4,0.556,161.05,46.6,6.69,2543.8,58.9,109.63,2.0,41.1
합격,35.4,0.558,161.03,46.9,6.7,2545.4,59.1,109.59,1.99,41.1
합격,35.4,0.552,161.03,46.7,6.69,2543.0,59.0,109.59,2.0,41.1
합격,35.4,0.552,161.04,46.9,6.69,2547.4,58.8,109.57,2.0,41.1
합격,35.4,0.55,161.06,46.7,6.7,2547.5,59.0,109.61,2.01,41.0
합격,35.4,0.54,161.05,46.9,6.7,2549.1,59.0,109.61,2.01,41.1
합격,35.4,0.548,161.05,47.1,6.69,2548.6,58.8,109.61,2.01,41.0
합격,35.4,0.547,161.06,47.2,6.69,2547.5,58.9,109.61,2.0,41.0
합격,35.4,0.547,161.06,46.8,6.7,2545.9,59.0,109.6,2.01,41.0
합격,35.4,0.553,161.06,46.9,6.69,2549.3,58.9,109.62,2.0,41.0
합격,35.4,0.553,161.06,47.0,6.7,2550.0,58.9,109.63,2.01,41.1
합격,35.4,0.552,161.05,46.7,6.7,2547.7,59.0,109.62,2.0,41.1
합격,35.5,0.553,161.03,47.1,6.7,2544.4,59.1,109.57,2.0,41.1
합격,35.5,0.551,161.04,46.9,6.7,2544.6,59.0,109.59,2.01,41.1
합격,35.5,0.563,161.05,47.1,6.69,2542.1,58.9,109.58,2.01,41.1
합격,35.5,0.563,161.05,47.4,6.68,2540.6,59.0,109.58,2.0,41.1
합격,35.5,0.55,161.04,46.9,6.68,2541.6,58.9,109.57,2.0,41.2
합격,35.5,0.55,161.04,47.1,6.68,2545.9,58.7,109.59,2.01,41.2
합격,35.6,0.538,161.02,47.1,6.68,2545.0,58.8,109.56,2.01,41.2
합격,35.5,0.538,161.16,47.2,6.7,2555.6,58.7,109.73,2.01,41.2
합격,35.6,0.552,161.16,47.4,6.69,2548.8,58.8,109.72,2.01,41.2
합격,35.6,0.547,161.16,47.4,6.71,2550.9,59.0,109.7,2.01,41.2
합격,35.6,0.552,161.15,47.3,6.7,2549.7,58.8,109.72,2.0,41.3
합격,35.6,0.551,161.13,47.1,6.71,2551.6,59.0,109.68,2.01,41.3
합격,36.0,0.544,161.27,47.7,6.67,2541.6,58.2,109.05,1.98,41.6
합격,36.1,0.551,161.27,47.5,6.66,2538.2,58.1,109.07,1.99,41.6
합격,36.1,0.548,161.26,47.4,6.67,2537.7,58.3,109.04,2.01,41.7
합격,36.1,0.544,161.27,47.5,6.66,2538.9,58.1,109.07,2.0,41.7
합격,36.2,0.558,161.27,47.4,6.66,2539.6,58.1,109.07,2.0,41.8
합격,36.2,0.548,161.15,47.4,6.69,2536.7,58.9,109.3,2.0,41.8
합격,36.2,0.557,161.18,47.5,6.7,2535.3,59.0,109.3,2.0,41.8
합격,36.2,0.546,161.18,47.3,6.69,2535.4,59.0,109.32,1.98,41.8
합격,36.2,0.546,161.17,47.2,6.69,2542.3,58.8,109.3,2.0,41.8
합격,36.2,0.544,161.06,47.5,6.71,2542.3,59.1,109.49,2.02,41.8
합격,36.2,0.547,161.07,47.6,6.71,2540.3,59.2,109.48,2.01,41.9
합격,36.2,0.55,161.06,47.7,6.71,2538.4,59.3,109.48,2.0,41.9
합격,36.2,0.552,161.06,47.7,6.71,2537.2,59.2,109.5,2.0,41.9
합격,36.2,0.55,161.06,47.8,6.71,2538.4,59.2,109.48,2.0,41.8
합격,36.3,0.558,161.01,47.6,6.72,2536.8,59.5,109.63,2.0,41.9
합격,36.3,0.55,161.0,47.6,6.71,2532.3,59.5,109.63,2.0,41.9
합격,36.3,0.554,160.98,47.8,6.69,2531.4,59.2,109.6,2.0,41.9
합격,36.3,0.555,160.99,47.5,6.71,2531.1,59.5,109.6,2.0,41.9
합격,36.3,0.544,160.86,47.3,6.71,2538.8,59.2,109.51,2.0,41.9
합격,36.3,0.552,160.89,47.3,6.69,2535.2,59.1,109.51,1.98,41.9
합격,36.3,0.55,160.9,47.2,6.7,2532.9,59.3,109.5,2.0,41.9
합격,36.3,0.546,160.91,47.2,6.69,2535.3,59.1,109.5,2.0,41.9
합격,36.3,0.547,160.91,47.2,6.69,2537.9,59.0,109.54,2.0,41.9
합격,36.1,0.54,161.23,47.0,6.66,2544.8,58.0,108.97,1.99,41.7
합격,36.1,0.54,161.2,47.2,6.66,2545.0,58.0,109.0,2.0,41.8
합격,36.2,0.541,161.23,47.2,6.66,2541.4,58.1,108.99,2.0,41.8
합격,36.2,0.541,161.2,47.3,6.66,2542.4,58.0,108.96,1.99,41.8
합격,36.2,0.542,161.2,47.2,6.66,2542.4,58.0,109.01,1.99,41.8
합격,36.2,0.532,161.09,47.0,6.69,2541.4,58.7,109.22,2.01,41.9
합격,36.2,0.538,161.1,47.5,6.7,2542.2,58.8,109.23,1.99,41.9
합격,36.2,0.535,161.11,47.5,6.69,2541.5,58.8,109.22,1.99,41.9
합격,36.2,0.536,161.11,47.2,6.69,2540.7,58.8,109.24,2.0,41.9
합격,36.3,0.537,161.01,47.0,6.71,2542.9,59.1,109.43,2.01,41.9
합격,36.3,0.535,161.04,47.0,6.7,2544.5,59.0,109.45,2.0,41.9
합격,36.3,0.535,161.02,47.3,6.7,2542.7,59.0,109.44,2.0,41.9
합격,36.3,0.537,161.02,47.3,6.71,2540.8,59.1,109.42,2.0,42.0
합격,36.3,0.537,161.01,47.3,6.71,2540.6,59.1,109.42,2.0,42.0
합격,36.3,0.532,160.95,47.4,6.7,2542.3,59.1,109.57,2.0,42.0
합격,36.3,0.535,160.96,47.4,6.71,2540.2,59.3,109.56,2.01,42.0
합격,36.3,0.53,160.92,47.4,6.7,2539.7,59.1,109.55,2.01,42.0
합격,36.3,0.524,160.94,47.4,6.71,2542.1,59.2,109.56,2.01,42.0
합격,36.3,0.537,160.92,47.2,6.71,2537.7,59.2,109.57,2.0,42.0
합격,36.3,0.543,160.92,47.2,6.69,2542.0,58.9,109.53,2.01,42.0
합격,36.3,0.537,160.92,47.3,6.7,2542.9,59.1,109.52,2.0,42.0
합격,36.3,0.534,160.92,47.3,6.7,2539.2,59.1,109.53,2.0,42.0
합격,36.3,0.536,160.93,47.2,6.69,2537.4,59.0,109.54,2.0,42.0
합격,36.2,0.548,160.98,46.8,6.7,2539.4,59.1,109.58,2.0,41.8
합격,36.2,0.545,161.23,47.2,6.66,2538.8,58.1,108.98,1.99,41.8
합격,36.2,0.54,161.21,47.2,6.65,2540.1,58.1,108.98,2.0,41.8
합격,36.2,0.545,161.2,47.4,6.66,2539.1,58.1,108.98,1.99,41.9
합격,36.2,0.545,161.19,47.2,6.66,2541.5,58.0,108.95,1.99,41.9
합격,36.2,0.552,161.1,47.4,6.69,2540.5,58.8,109.21,2.01,41.9
합격,36.2,0.547,161.11,47.1,6.69,2539.4,58.8,109.23,2.0,41.9
합격,36.2,0.549,161.08,47.2,6.68,2540.3,58.7,109.21,1.99,41.9
합격,36.2,0.548,161.09,47.3,6.67,2541.1,58.6,109.24,1.99,41.9
합격,36.2,0.55,161.1,47.3,6.69,2539.9,58.8,109.23,1.99,41.8
합격,36.2,0.544,161.01,47.2,6.69,2538.3,59.1,109.43,2.0,41.9
합격,36.2,0.546,161.03,47.0,6.7,2538.0,59.1,109.47,2.0,41.8
합격,36.2,0.547,161.02,47.1,6.69,2537.8,59.0,109.45,2.0,41.8
합격,36.2,0.546,161.02,46.9,6.7,2536.3,59.2,109.42,2.0,41.8
합격,36.1,0.552,160.96,46.9,6.7,2537.6,59.1,109.58,2.0,41.8
합격,36.1,0.546,161.0,47.1,6.7,2538.7,59.1,109.64,2.0,41.8
합격,36.1,0.542,160.98,47.5,6.69,2537.5,59.0,109.62,1.99,41.8
합격,36.1,0.54,160.96,47.3,6.69,2537.4,59.1,109.58,2.01,41.8
합격,36.1,0.547,160.99,47.3,6.69,2538.4,59.1,109.62,2.0,41.8
합격,36.1,0.545,161.0,47.6,6.68,2541.1,58.9,109.61,1.98,41.7
합격,36.1,0.542,160.99,46.9,6.68,2539.6,58.9,109.6,2.0,41.7
합격,36.1,0.541,161.04,47.2,6.68,2542.1,58.9,109.62,1.99,41.7
합격,36.1,0.541,161.02,47.3,6.68,2540.7,58.9,109.59,2.0,41.7
합격,35.5,0.551,161.13,46.5,6.69,2539.0,59.1,109.72,1.99,41.2
합격,35.6,0.55,161.39,46.6,6.65,2540.1,58.2,109.11,1.98,41.2
합격,35.6,0.555,161.37,46.6,6.65,2539.1,58.2,109.12,1.99,41.2
합격,35.6,0.561,161.41,46.6,6.66,2545.2,58.1,109.15,1.99,41.2
합격,35.6,0.556,161.38,46.7,6.66,2544.1,58.1,109.14,1.98,41.2
합격,35.5,0.558,161.32,46.6,6.67,2545.3,58.4,109.42,1.98,41.2
합격,35.5,0.549,161.32,46.7,6.68,2542.2,58.8,109.37,1.98,41.2
합격,35.5,0.555,161.32,47.2,6.67,2542.7,58.5,109.37,1.98,41.2
합격,35.5,0.545,161.34,46.1,6.67,2543.0,58.6,109.41,2.0,41.1
합격,35.5,0.556,161.34,46.7,6.67,2540.6,58.7,109.39,1.99,41.1
합격,35.5,0.554,161.25,46.6,6.7,2538.2,59.2,109.61,1.99,41.1
합격,35.5,0.556,161.24,46.5,6.68,2538.2,59.0,109.6,1.99,41.1
합격,35.5,0.551,161.27,46.7,6.68,2543.2,58.9,109.64,2.01,41.0
합격,35.4,0.546,161.26,46.8,6.7,2544.2,59.1,109.62,2.0,41.0
합격,35.4,0.547,161.21,46.2,6.69,2542.3,59.1,109.78,1.99,41.0
합격,35.4,0.546,161.21,46.2,6.69,2542.8,59.0,109.75,2.0,41.0
합격,35.4,0.553,161.21,46.5,6.7,2544.8,59.0,109.77,1.99,41.0
합격,35.4,0.55,161.23,46.1,6.69,2545.5,59.0,109.8,2.01,41.0
합격,35.3,0.55,161.21,46.9,6.7,2546.3,59.0,109.76,2.0,41.0
합격,35.3,0.55,161.24,46.3,6.7,2547.4,59.1,109.8,2.0,40.9
합격,35.3,0.552,161.24,46.3,6.69,2547.0,59.0,109.8,1.99,40.9
합격,35.3,0.547,161.21,46.7,6.69,2543.4,59.1,109.79,2.0,40.9
합격,35.3,0.547,161.22,46.6,6.69,2543.8,59.1,109.79,2.0,40.9
불합격,54.3,0.648,156.39,20.0,6.31,2427.4,56.9,105.85,1.66,58.9
불합격,54.2,0.663,156.22,19.8,6.26,2416.4,56.2,105.24,1.64,58.7
불합격,54.2,0.658,156.14,19.9,6.28,2414.7,56.7,105.48,1.63,58.8
불합격,54.2,0.764,173.32,20.1,3.23,2651.7,29.0,122.83,1.12,58.3
불합격,55.3,0.766,173.01,20.4,3.29,2643.4,30.2,122.9,1.12,58.7
불합격,56.4,0.747,172.69,20.6,3.29,2633.6,30.4,123.1,1.15,59.6
불합격,56.1,0.733,173.01,20.5,3.23,2640.5,29.1,122.56,1.1,59.6
불합격,57.0,0.729,172.68,18.8,3.29,2633.0,30.3,122.84,1.08,60.6
불합격,57.5,0.711,172.51,18.9,3.29,2626.9,30.4,122.94,1.07,60.8
불합격,56.6,0.74,172.92,18.9,3.22,2626.6,29.1,122.47,1.09,59.9
불합격,57.1,0.799,172.78,19.0,3.29,2624.0,29.5,122.56,1.11,60.4
불합격,57.2,0.732,172.56,18.9,3.26,2621.5,30.2,122.95,1.1,60.7
